Population;Stillbirths(3);Infant deaths;Natural increase;Deaths(1)(2);Live births;Divorces;Marriages;Year
JEWISH;391  ;338  ;89 297  ;36 112  ;125 409  ;11 037  ;37 751  ;2012
JEWISH;389  ;290  ;91 282  ;35 717  ;126 999  ;11 840  ;39 446  ;2013
JEWISH;384  ;295  ;94 395  ;36 181  ;130 576  ;11 435  ;36 900  ;2014
JEWISH;(3)388  ;280  ;94 405  ;37 815  ;132 220  ;11 412  ;39 111  ;2015
JEWISH;(9)455  ;299  ;96 798  ;37 302  ;134 100  ;11 748  ;38 295  ;2016
JEWISH;425  ;315  ;96 652  ;37 978  ;134 630  ;11 604  ;35 810  ;2017
JEWISH;454  ;324  ;98 027  ;37 782  ;135 809  ;12 071  ;34 473  ;2018
JEWISH;400  ;295  ;94 397  ;38 846  ;133 243  ;12 336  ;33 354  ;2019
JEWISH;454  ;216  ;89 289  ;(10)40 595  ;129 884  ;11 910  ;27 006  ;2020
JEWISH;438  ;269  ;94 182  ;(10)41 938  ;136 120  ;12 524  ;36 650  ;2021
JEWISH;;R274  ;R89 453  ;(10)R43 300  ;132 753  ;11 646  ;37 135  ;2022
JEWISH;;249  ;89 798  ;41 345  ;131 143  ;;;2023
ARAB;151  ;254  ;32 520  ;3 521  ;36 041  ;1 786  ;10 766  ;2012
ARAB;168  ;229  ;31 405  ;3 522  ;34 927  ;1 909  ;11 324  ;2013
ARAB;156  ;224  ;32 186  ;3 779  ;35 965  ;2 101  ;11 878  ;2014
ARAB;(3)115  ;248  ;32 650  ;4 009  ;36 659  ;2 217  ;12 516  ;2015
ARAB;(9)167  ;244  ;33 459  ;4 133  ;37 592  ;2 133  ;12 592  ;2016
ARAB;158  ;214  ;35 470  ;4 080  ;39 550  ;2 193  ;12 324  ;2017
ARAB;168  ;202  ;34 625  ;4 132  ;38 757  ;2 582  ;13 138  ;2018
ARAB;156  ;222  ;35 109  ;4 416  ;39 525  ;2 581  ;12 900  ;2019
ARAB;166  ;197  ;33 374  ;(10)5 014  ;38 388  ;2 386  ;11 477  ;2020
ARAB;176  ;215  ;34 274  ;(10)5 429  ;39 703  ;2 646  ;13 068  ;2021
ARAB;;R221  ;R34 635  ;(10)R5 050  ;39 685  ;2 490  ;12 756  ;2022
ARAB;;218  ;34 337  ;4 966  ;39 303  ;;;2023
